name,garnish,serving_suggestion,ingredients,steps,review_count,url,website,image_url,ingredients_clean,serving_suggestion_clean,alcohol
Adelaide Swizzle,Lime slice,Serve in a Collins glass,"['2 shot Bacardi Carta Blanca light rum', ""3⁄4 shot Difford's Falernum liqueur"", '1⁄2 shot Lime juice (freshly squeezed)', ""2 dash Peychaud's or other Creole-style bitters""]",POUR ingredients into chilled glass and half fill with crushed ice. SWIZZLE with a swizzle stick (or churn with a barspoon). Add more crushed ice to fill and SWIZZLE some more. Serve with straws.,6,https://www.diffordsguide.com/cocktails/recipe/511/adelaide-swizzle,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/36/201513c4f725a01e0547e683a04b84583632.jpg,"['Bacardi Carta Blanca light rum', ""Difford's Falernum liqueur"", 'Lime juice', ""Peychaud's or other Creole style bitters""]",Serve in a Collins glass,rum|bitters
Adios Amigos Cocktail,Lemon zest twist,Serve in a Martini glass,"['1 shot Bacardi Carta Blanca light rum', '1⁄2 shot Rémy Martin 1738 Cognac', '1⁄2 shot Rutte Dry Gin', '1⁄2 shot Martini Extra Dry vermouth', '1⁄4 shot Lime juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1⁄2 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/512/adios-amigos-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/31/2015847b60ef8a18046f6dcdeb15c2841ba4.jpg,"['Bacardi Carta Blanca light rum', 'Rémy Martin Cognac', 'Rutte Dry Gin', 'Martini Extra Dry vermouth', 'Lime juice', 'Sugar syrup', 'Chilled water']",Serve in a Martini glass,rum|Cognac|gin|vermouth
Aku Aku,"Pineapple wedge, Luxardo Maraschino cherry and mint sprig",Serve in a Coupe glass,"['1 shot Bacardi Carta Blanca light rum', '1⁄2 shot Peachtree peach schnapps', '1 1⁄2 shot Pineapple juice (fresh pressed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '3⁄4 shot Lime juice (freshly squeezed)', '10 fresh Mint leaves']",BLEND all ingredients with a small scoop of crushed ice and fine strain into glass (push through sieve using back of a bar spoon).,27,https://www.diffordsguide.com/cocktails/recipe/513/aku-aku,diffords,https://cdn.diffords.com/contrib/stock-images/2021/10/6172e0fdadf7d.jpg,"['Bacardi Carta Blanca light rum', 'Peachtree peach schnapps', 'Pineapple juice', 'Sugar syrup', 'Lime juice', 'Mint leaves']",Serve in a Coupe glass,rum
Alaska (Straub's 1914 recipe),Orange zest twist,"Serve in a Coupe glass
Photographed in an UB Retro Coupe 1910","['1 1⁄2 shot Portobello Old Tom gin', '3⁄4 shot Yellow Chartreuse liqueur', '1 dash Orange Bitters by Angostura', '1⁄3 shot Chilled water (omit if using wet ice)']",STIR all the ingredients with ice and strain into chilled glass.,24,https://www.diffordsguide.com/cocktails/recipe/514/alaska-straubs-1914-recipe,diffords,https://cdn.diffords.com/contrib/stock-images/2020/03/5e6276df0f603.jpg,"['Portobello Old Tom gin', 'Yellow Chartreuse liqueur', 'Orange Bitters by Angostura', 'Chilled water']",Serve in a Coupe glass,gin|Chartreuse liqueur|Orange Bitters
Alfonso (Special),Orange zest twist,Serve in a Coupe glass,"['5⁄6 shot Rutte Dry Gin', '5⁄6 shot Grand Marnier or other cognac orange liqueur', '1⁄2 shot Martini Extra Dry vermouth', '1⁄4 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1⁄3 shot Chilled water (omit if using wet ice)']",STIR all ingredients with ice and fine strain into chilled glass.,9,https://www.diffordsguide.com/cocktails/recipe/515/alfonso-special,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/08/201500ae519c9b85329d6cd61f9296d8f98a.jpg,"['Rutte Dry Gin', 'Grand Marnier or other cognac orange liqueur', 'Martini Extra Dry vermouth', 'Martini Rosso sweet vermouth', 'Angostura Aromatic Bitters', 'Chilled water']",Serve in a Coupe glass,gin|Cognac|vermouth|vermouth|Aromatic Bitters
Algeria,Orange zest twist,"Serve in a Coupe glass
Photographed in a Waterford Mixology Coupe Clear","['1 2⁄3 shot BarSol Mosto Verde Italia Pisco', '1⁄3 shot De Kuyper Triple Sec (40%)', '1⁄3 shot De Kuyper Apricot Brandy liqueur', '2⁄3 shot Orange juice (freshly squeezed)', '1⁄12 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1 dash Orange Bitters by Angostura']",SHAKE all ingredients with ice and fine strain into chilled glass.,17,https://www.diffordsguide.com/cocktails/recipe/516/algeria,diffords,https://cdn.diffords.com/contrib/stock-images/2021/07/60f0089a1d0ef.jpg,"['BarSol Mosto Verde Italia Pisco', 'De Kuyper Triple Sec', 'De Kuyper Apricot Brandy liqueur', 'Orange juice', 'Sugar syrup', 'Orange Bitters by Angostura']",Serve in a Coupe glass,brandy liqueur|Orange Bitters
Allegrottini,Orange zest twist,Serve in a Martini glass,"['3⁄4 shot Ketel One Citroen Vodka', '3⁄4 shot Ketel One Vodka', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Orange juice (freshly squeezed)', '1⁄4 shot Martini Bianco vermouth', '1⁄4 shot Lime juice (freshly squeezed)']",SHAKE all the ingredients with ice and fine strain into chilled glass.,5,https://www.diffordsguide.com/cocktails/recipe/517/allegrottini,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/55/201512402d44d104108781efabace0db0697.jpg,"['Ketel One Citroen Vodka', 'Ketel One Vodka', 'De Kuyper Triple Sec', 'Orange juice', 'Martini Bianco vermouth', 'Lime juice']",Serve in a Martini glass,vodka|vodka|vermouth
Alien Secretion,Pineapple wedge & Luxardo Maraschino cherry,Serve in a Collins glass,"['2 shot Ketel One Vodka', '1⁄2 shot Green melon liqueur', '1⁄2 shot Coconut rum liqueur (35-40% alc./vol.)', '3 shot Pineapple juice (fresh pressed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,1,https://www.diffordsguide.com/cocktails/recipe/518/alien-secretion,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/51/20154a51f934d9d97fc54082866ef0b8f416.jpg,"['Ketel One Vodka', 'Green melon liqueur', 'Coconut rum liqueur', 'Pineapple juice']",Serve in a Collins glass,vodka|rum
American Beauty (by Trader Vic),Mint leaf,Serve in a Martini glass,"['1 shot Rémy Martin 1738 Cognac', '1 shot Martini Extra Dry vermouth', '1⁄4 shot Giffard Menthe Pastille white crème de menthe', '1 shot Orange juice (freshly squeezed)', '1⁄2 shot Giffard Grenadine syrup', '1⁄2 shot Tawny port']",SHAKE first five ingredients with ice and fine strain into chilled glass. Use the back of a soup spoon to FLOAT port over drink.,0,https://www.diffordsguide.com/cocktails/recipe/519/american-beauty-by-trader-vic,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/42/20154bb36542a0e8613a671cb6d5f6033c45.jpg,"['Rémy Martin Cognac', 'Martini Extra Dry vermouth', 'Giffard Menthe Pastille white cr me de menthe', 'Orange juice', 'Giffard Grenadine syrup', 'Tawny port']",Serve in a Martini glass,Cognac|vermouth
Amsterdam Cocktail,Orange zest twist,Serve in a Coupe glass,"['1 1⁄2 shot Rutte Old Simon Genever', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Orange juice (freshly squeezed)', '2 dash Orange Bitters by Angostura']",SHAKE all ingredients with ice and fine strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/520/amsterdam-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/55/2015acdc4b6b39c168a9fdee6d18fd445bb2.jpg,"['Rutte Old Simon Genever', 'De Kuyper Triple Sec', 'Orange juice', 'Orange Bitters by Angostura']",Serve in a Coupe glass,Orange Bitters
Angel Face,"Orange zest twist, or apple wedge on rim, or float (dehydrated) apple slice","Serve in a Coupe glass
Photographed in an UB Retro Fizzio 1920 Coupe 9oz","['1 shot Rutte Dry Gin', '1 shot Avallen Calvados', '1 shot De Kuyper Apricot Brandy liqueur', '1⁄3 shot Chilled water (omit if using wet ice)']",STIR all ingredients with ice and fine strain into a chilled glass.,51,https://www.diffordsguide.com/cocktails/recipe/521/angel-face,diffords,https://cdn.diffords.com/contrib/stock-images/2020/07/5f102bd439c31.jpg,"['Rutte Dry Gin', 'Avallen Calvados', 'De Kuyper Apricot Brandy liqueur', 'Chilled water']",Serve in a Coupe glass,gin|Calvados|brandy liqueur
Angel's Share No.1,Orange zest twist,Serve in a Martini glass,"['1 spoon Orange marmalade', '2 shot Rémy Martin 1738 Cognac', '1⁄4 shot Licor 43 Original liqueur', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']","STIR heaped spoon of orange marmalade with cognac in base of shaker until marmalade dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",19,https://www.diffordsguide.com/cocktails/recipe/522/angels-share-no1,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/05/2015d576283491770334037f8a065ba12ee9.jpg,"['Orange marmalade', 'Rémy Martin Cognac', 'Licor Original liqueur', 'Lemon juice', 'Sugar syrup']",Serve in a Martini glass,Cognac|gin
Angel's Share No.2,None,Serve in a Snifter glass,"['1⁄4 shot Green Chartreuse liqueur', '1 1⁄2 shot Rémy Martin 1738 Cognac', '3⁄4 shot Nocello walnut liqueur', '1⁄2 shot Tawny port']","POUR the Chartreuse into glass and coat the inside of the glass with the liqueur by tilting and rotating it. DISCARD excess liqueur. Carefully set the liqueur on the inside of the glass alight and allow it to BURN for a few seconds. Extinguish flame by placing a saucer over the glass, add other ingredients and SWIRL to mix. Beware of hot glass rim.",3,https://www.diffordsguide.com/cocktails/recipe/523/angels-share-no2,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/08/20163447503017f932d374e5f6cae1c959b4.jpg,"['Green Chartreuse liqueur', 'Rémy Martin Cognac', 'Nocello walnut liqueur', 'Tawny port']",Serve in a Snifter glass,Chartreuse liqueur|Cognac
Ante,Orange zest twist,"Serve in a Coupe glass
Photographed in a Waterford Mixology Coupe Clear","['1 2⁄3 shot Avallen Calvados', '2⁄3 shot Dubonnet/French rouge aromatised wine', '1⁄3 shot De Kuyper Triple Sec (40%)', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,17,https://www.diffordsguide.com/cocktails/recipe/524/ante,diffords,https://cdn.diffords.com/contrib/stock-images/2020/09/5f4f5ca772c64.jpg,"['Avallen Calvados', 'Dubonnet French rouge aromatised wine', 'De Kuyper Triple Sec', 'Angostura Aromatic Bitters']",Serve in a Coupe glass,Calvados|wine|Aromatic Bitters
Apple & Elderflower Cocktail,Apple slice,Serve in a Martini glass,"['1 3⁄4 shot Ketel One Vodka', '1 shot St-Germain elderflower liqueur', '1 1⁄4 shot Apple juice']",SHAKE all ingredients with ice and fine strain into chilled glass.,2,https://www.diffordsguide.com/cocktails/recipe/525/apple-and-elderflower-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/37/2015ab57826a78d3389e139c1c3e85595995.jpg,"['Ketel One Vodka', 'St Germain elderflower liqueur', 'Apple juice']",Serve in a Martini glass,vodka|elderflower liqueur
Apple Blossom Cocktail,Apple wedge on rim or float dehydrated apple slice,"Serve in a Coupe glass
Photographed in a Retro Coupe","['1 2⁄3 shot Avallen Calvados', '1 2⁄3 shot Martini Rosso sweet vermouth', '2 dash Orange Bitters by Angostura']",STIR all ingredients with ice and strain into chilled glass.,29,https://www.diffordsguide.com/cocktails/recipe/526/apple-blossom-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2020/11/5faec5a6d7cf0.jpg,"['Avallen Calvados', 'Martini Rosso sweet vermouth', 'Orange Bitters by Angostura']",Serve in a Coupe glass,Calvados|vermouth|Orange Bitters
Apple Manhattan #2,Apple wedge,Serve in a Martini glass,"['2 shot Bourbon whiskey', '3⁄4 shot Apple Schnapps liqueur', '1⁄4 shot De Kuyper Triple Sec (40%)', '1⁄2 shot Martini Rosso sweet vermouth']",STIR all ingredients with ice and strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/527/apple-manhattan-2,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/12/2016adac134db6c0a73285e14a5f53c927d8.jpg,"['Bourbon whiskey', 'Apple Schnapps liqueur', 'De Kuyper Triple Sec', 'Martini Rosso sweet vermouth']",Serve in a Martini glass,whiskey|vermouth
The Argyll,Orange zest twist,Serve in a Martini glass,"['2 shot Southern USA-style liqueur 40% (e.g. Southern Comfort)', '1 shot Martini Rosso sweet vermouth', '1 dash Orange Bitters by Angostura']",STIR all ingredients with ice and strain into chilled glass.,0,https://www.diffordsguide.com/cocktails/recipe/528/the-argyll,diffords,https://cdn.diffords.com/contrib/stock-images/2017/1/09/20170c9e624c3b2e5384cebff2ab805713bc.jpg,"['Southern USA style liqueur', 'Martini Rosso sweet vermouth', 'Orange Bitters by Angostura']",Serve in a Martini glass,vermouth|Orange Bitters
Armillita Chico,Lime wedge,Serve in a Martini (large 10oz) glass,"['2 shot Patrón Reposado tequila', '1 shot Lime juice (freshly squeezed)', '1⁄2 shot Giffard Grenadine syrup', '2 dash Orange flower/blossom water']",BLEND all ingredients with 12oz scoop crushed ice.,1,https://www.diffordsguide.com/cocktails/recipe/529/armillita-chico,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/55/2016c0e87fea862d5e2369e9b5cbe6bc2203.jpg,"['Patr n Reposado tequila', 'Lime juice', 'Giffard Grenadine syrup', 'Orange flower blossom water']",Serve in a Martini (large 10oz) glass,tequila
Army & Navy,Lemon zest twist,Serve in a Coupe glass,"['2 shot Rutte Dry Gin', '1⁄2 shot Lemon juice (freshly squeezed)', '5⁄12 shot Giffard Orgeat Syrup', '1 dash Angostura Aromatic Bitters']",SHAKE all ingredients with ice and fine strain into chilled glass.,82,https://www.diffordsguide.com/cocktails/recipe/530/army-and-navy,diffords,https://cdn.diffords.com/contrib/stock-images/2020/01/5e1d96a040284.jpg,"['Rutte Dry Gin', 'Lemon juice', 'Giffard Orgeat Syrup', 'Angostura Aromatic Bitters']",Serve in a Coupe glass,gin|Aromatic Bitters
Asylum Cocktail,Star anise,Serve in an Old-fashioned glass,"['1 shot Rutte Dry Gin', '1 shot Pernod anise', '1⁄6 shot Giffard Grenadine syrup', '1⁄3 shot Chilled water']",STIR all ingredients with ice and strain into ice-filled glass (preferably over a large cube or chunk of block ice).,4,https://www.diffordsguide.com/cocktails/recipe/531/asylum-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/52/2016932528309bf2c02f79aad156e5f6df97.jpg,"['Rutte Dry Gin', 'Pernod anise', 'Giffard Grenadine syrup', 'Chilled water']",Serve in an Old-fashioned glass,gin
The Atty Cocktail,Lemon zest twist,Serve in a Coupe glass,"['2 shot Rutte Dry Gin', '2⁄3 shot Martini Extra Dry vermouth', '1⁄24 shot Crème de violette liqueur', '1⁄24 shot La Fée Parisienne absinthe']",STIR all ingredients with ice and strain into chilled glass.,15,https://www.diffordsguide.com/cocktails/recipe/532/the-atty-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2021/07/60e5c2a91523f.jpg,"['Rutte Dry Gin', 'Martini Extra Dry vermouth', 'Cr me de violette liqueur', 'La Fée Parisienne absinthe']",Serve in a Coupe glass,gin|vermouth|absinthe
Aviation Cocktail (Savoy spec.),Luxardo Maraschino cherry (& optional sugar rim),Serve in a Coupe glass,"['1 3⁄4 shot Rutte Dry Gin', '3⁄4 shot Luxardo Maraschino liqueur', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄3 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,52,https://www.diffordsguide.com/cocktails/recipe/533/aviation-cocktail-savoy-spec,diffords,https://cdn.diffords.com/contrib/stock-images/2015/3/53/2015f77c9df40850235ca01648455f82994c.jpg,"['Rutte Dry Gin', 'Luxardo Maraschino liqueur', 'Lemon juice', 'Chilled water']",Serve in a Coupe glass,gin|Maraschino liqueur
Bahia,"Pineapple wedge, Luxardo Maraschino cherry & mint sprig",Serve in a Collins glass,"['2 1⁄2 shot Bacardi Carta Blanca light rum', ""1⁄2 shot Cream of coconut (e.g. Coco Lopez, Re'al etc.)"", '3 shot Pineapple juice (fresh pressed)']",BLEND all ingredients with 6oz scoop crushed ice and serve with straws.,2,https://www.diffordsguide.com/cocktails/recipe/534/bahia,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/08/2016aa0ca657b28ddcc1a08aeb3ae4f5161f.jpg,"['Bacardi Carta Blanca light rum', 'Cream of coconut', 'Pineapple juice']",Serve in a Collins glass,rum
Bajan Daiquiri,Lime wedge on rim,"Serve in a Coupe glass
Photographed in a Retro Coupe","['1 2⁄3 shot Havana Club 3 Year Old rum', ""1⁄2 shot Difford's Falernum liqueur"", '1⁄2 shot Lime juice (freshly squeezed)', '1 spoon Powdered sugar (ground in mortar and pestle) (optional)', '1⁄3 shot Chilled water']",SHAKE all ingredients with ice and fine strain into chilled glass.,12,https://www.diffordsguide.com/cocktails/recipe/535/bajan-daiquiri,diffords,https://cdn.diffords.com/contrib/stock-images/2020/11/5fa57a5feab43.jpg,"['Havana Club Year Old rum', ""Difford's Falernum liqueur"", 'Lime juice', 'Powdered sugar', 'Chilled water']",Serve in a Coupe glass,rum
Banana Cow,Banana chunk,Serve in a Collins glass,"['1 shot Bacardi Carta Blanca light rum', '3 shot Milk (whole milk/full 3-4% fat)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1 dash Angostura Aromatic Bitters', '1 dash Vanilla extract', '1 fresh Banana (overripe)']",BLEND all ingredients with 12oz scoop crushed ice and serve with straws.,4,https://www.diffordsguide.com/cocktails/recipe/536/banana-cow,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/34/20168c324ded907be1ded93138d4409c5cab.jpg,"['Bacardi Carta Blanca light rum', 'Milk', 'Sugar syrup', 'Angostura Aromatic Bitters', 'Vanilla extract', 'Banana']",Serve in a Collins glass,rum|Aromatic Bitters
Barranquilla Green Jade,Luxardo Maraschino cherry & mint sprig,Serve in a Martini glass,"['2 shot Rutte Dry Gin', '1 shot Giffard Peppermint Pastille crème de menthe', '1⁄2 shot Single cream / half-and-half', '1⁄2 shot Milk (semi-skimmed/2% fat)', '1⁄2 shot Pasteurised egg white']",SHAKE all ingredients with ice and fine strain into chilled glass.,2,https://www.diffordsguide.com/cocktails/recipe/537/barranquilla-green-jade,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/02/2016a3a8d1313988c564d4dc7ee7b28cd265.jpg,"['Rutte Dry Gin', 'Giffard Peppermint Pastille cr me de menthe', 'Single cream half and half', 'Milk', 'Pasteurised egg white']",Serve in a Martini glass,gin
