name,garnish,serving_suggestion,ingredients,steps,review_count,url,website,image_url
Kentucky Muffin,Blueberries (or blackberries),Serve in an Old-fashioned glass,"['12 fresh Blueberries (fresh)', '2 shot Bourbon whiskey', '1 shot Apple juice', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']","MUDDLE blueberries in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice. Stir and serve with straws.",11,https://www.diffordsguide.com/cocktails/recipe/1097/kentucky-muffin,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/04/2016961eb1d348640e894306a2d4401d84a6.jpg
Kentucky Pear,Pear slice,Serve in a Martini glass,"['1 shot Bourbon whiskey', '1 shot Pear & cognac liqueur', '1 shot Pear juice (freshly pressed)', '1 shot Apple juice']",SHAKE all ingredients with ice and fine strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/1098/kentucky-pear,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/04/2016e86b8ffcaad8842ffb622a90cdcac2a2.jpg
Kentucky Tea,Lime wedge,Serve in a Collins glass,"['2 shot Bourbon whiskey', '1 shot De Kuyper Triple Sec (40%)', '1 shot Lime juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', 'Top up with Thomas Henry Ginger Ale']",SHAKE first 4 ingredients with ice and fine strain into ice-filled glass. TOP with ginger ale.,6,https://www.diffordsguide.com/cocktails/recipe/1099/kentucky-tea,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/05/201613612e095e18e0650c84e4321868c95b.jpg
Key Lime,Lime wedge,Serve in a Coupe glass,"['1 1⁄2 shot Absolut Vanilia vodka', '1 1⁄2 shot Lime flavoured vodka', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1⁄2 shot Lime cordial (sweetened lime juice)', '3 scoop Vanilla ice cream']",BLEND all ingredients without ice and serve.,0,https://www.diffordsguide.com/cocktails/recipe/1100/key-lime,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/06/20160a05cfd9e94975ef37f5ed9f507bcb53.jpg
Key Lime Pie #1,Pie rim,Serve in a Martini glass,"['2 shot Coconut rum liqueur (35-40% alc./vol.)', '1 shot De Kuyper Triple Sec (40%)', '1 shot Lime juice (freshly squeezed)', '2 shot Single cream / half-and-half', '1⁄2 shot Licor 43 Original liqueur']","SHAKE first three ingredients with ice and fine strain into chilled, rimmed glass. SHAKE cream and Licor 43 without ice so as to mix and whip. FLOAT cream mix on surface of drink.",11,https://www.diffordsguide.com/cocktails/recipe/1101/key-lime-pie-1,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/08/2016ed48982e4cfb5db6f1d662a3038ec671.jpg
Key Lime Pie #2,Pie rim,Serve in a Coupe glass,"['2 shot Absolut Vanilia vodka', '1 3⁄4 shot Pineapple juice (fresh pressed)', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄4 shot Lime cordial (sweetened lime juice)']","Shake all ingredients with ice and fine strain into chilled, rimmed glass. To make the pie rim, wipe outside edge of rim with cream mix and dip into crunched up Graham Cracker or digestive biscuits.",6,https://www.diffordsguide.com/cocktails/recipe/1102/key-lime-pie-2,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/08/2016e0eeeb5b1eb00b226ddf556b63e59a13.jpg
Key Lime Pie #3,Pie rim,Serve in a Martini glass,"['2 shot Ketel One Citroen Vodka', '1⁄2 shot Giffard Vanille de Madagascar', '1 1⁄2 shot Pineapple juice (fresh pressed)', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄4 shot Lime cordial (sweetened lime juice)']","SHAKE all ingredients with ice and fine strain into chilled, rimmed glass.",0,https://www.diffordsguide.com/cocktails/recipe/1103/key-lime-pie-3,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/09/20165ff8a16259dbf1600581f126e3ee044b.jpg
Key West Cooler,Lime wedge,Serve in a Collins glass,"['2 shot Ketel One Vodka', '1 shot Coconut rum liqueur (35-40% alc./vol.)', '1 1⁄2 shot Cranberry juice (sweetened)', '1 1⁄2 shot Orange juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,0,https://www.diffordsguide.com/cocktails/recipe/1104/key-west-cooler,diffords,https://cdn.diffords.com/contrib/stock-images/2017/4/22/201741b40064923b568abee7de91e97a7ed2.jpg
K.G.B.,None,Serve in a Shot glass,"['1⁄2 shot Bebo Coffee Liqueur', ""1⁄2 shot Galliano L'Autentico liqueur"", '1⁄2 shot Rémy Martin 1738 Cognac']",LAYER in glass by pouring carefully in the following order.,0,https://www.diffordsguide.com/cocktails/recipe/1105/kgb,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/42/20167608defd8f6301a86218c8752d6cdae3.jpg
Killer Punch,Lime wedge,Serve in a Collins glass,"['1 shot Ketel One Vodka', '1⁄2 shot Green melon liqueur', '1⁄2 shot Disaronno amaretto', '1⁄2 shot Lime juice (freshly squeezed)', '3 1⁄2 shot Cranberry juice (sweetened)']",SHAKE all ingredients with ice and strain into ice-filled glass.,7,https://www.diffordsguide.com/cocktails/recipe/1106/killer-punch,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/44/20167977bf8cb7c5f508221f2de1b577b4dd.jpg
Kir Aperitif,None,Serve in a Goblet glass,"['2 1⁄2 shot Bourgogne Aligoté wine white', '5⁄6 shot Giffard Noir de Bourgogne Cassis', '2 1⁄2 shot Bourgogne Aligoté wine white']",POUR half the chilled wine into chilled glass. POUR cassis into glass and TOP with rest of the chilled wine.,3,https://www.diffordsguide.com/cocktails/recipe/1107/kir-aperitif,diffords,https://cdn.diffords.com/contrib/stock-images/2016/1/43/20166335f50bdb3dd0bc4516be1e997f8149.jpg
Kir Cocktail,Seasonal berries,Serve in a Martini glass,"['1 1⁄2 shot Ketel One Vodka', '3⁄4 shot Bourgogne Aligoté wine white', '2⁄3 shot Giffard Noir de Bourgogne Cassis', '1⁄6 shot BarSol Mosto Verde Italia Pisco (optional)']",STIR all ingredients with ice and strain into chilled glass.,2,https://www.diffordsguide.com/cocktails/recipe/1108/kir-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/14/20166884a6d64eefd4425d8dfa35162b3c2b.jpg
Kir Royale Cocktail,Seasonal berries (blackcurrants),Serve in a Flute glass,"['1⁄2 shot Giffard Noir de Bourgogne Cassis', '4 shot Brut Champagne']",POUR cassis into glass and TOP with champagne.,11,https://www.diffordsguide.com/cocktails/recipe/1109/kir-royale-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/15/20168fa18c255d00004494a82e6d78ac8b36.jpg
Kiss of Death,None,Serve in a Shot glass,"['3⁄4 shot Luxardo Sambuca', ""3⁄4 shot Galliano L'Autentico liqueur""]",Take sambuca from freezer and Galliano from refrigerator then LAYER in chilled glass by carefully pouring in the following order.,0,https://www.diffordsguide.com/cocktails/recipe/1110/kiss-of-death,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/21/201609708b4ca4d6498b944130053af256d6.jpg
Kiwi Batida,Kiwi slice,Serve in a Collins glass,"['2 1⁄2 shot Novo Fogo Silver cachaça', '1 fresh Kiwi fruit (fresh)', '1 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",Cut kiwi in half and scoop flesh into blender. Add other ingredients and BLEND with 18oz scoop crushed ice until smooth. Serve with straws.,0,https://www.diffordsguide.com/cocktails/recipe/1111/kiwi-batida,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/22/20164520e41b890f810aac1e26436624b926.jpg
Kiwi Bellini,Kiwi slice,Serve in a Flute glass,"['1 fresh Kiwi fruit (fresh)', '1 1⁄4 shot Ketel One Vodka', '1⁄4 shot Lemon juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', 'Top up with Prosecco sparkling wine']","Cut kiwi in half, scoop out flesh into base of shaker and MUDDLE. Add next three ingredients, SHAKE with ice and fine strain into chilled glass. TOP with prosecco.",6,https://www.diffordsguide.com/cocktails/recipe/1112/kiwi-bellini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/12/23/2016e3345cfc0c53c47cd04eee658d557311.jpg
